from,to,value,block_time
0xb0a61cf04be284c698e33659ef887a67cc807b7e,0x1272441d556a2b409833333b343b6aaa943e54bf,255.08908859780502,1675936415
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,179.32249630918443,1675936499
0xb0a61cf04be284c698e33659ef887a67cc807b7e,0x1272441d556a2b409833333b343b6aaa943e54bf,91.29291602609617,1675936715
0xb0a61cf04be284c698e33659ef887a67cc807b7e,0x1272441d556a2b409833333b343b6aaa943e54bf,150.70073572928436,1675936619
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,261.05433814708107,1675936823
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,113.18224823903181,1675936979
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,107.11359507040348,1675937123
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,129.54314631722772,1675937243
0x4fec7786a1fc6a50da7e0874cb90d57f66202174,0x1272441d556a2b409833333b343b6aaa943e54bf,20.28373583074375,1675937387
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,169.509394378305,1676042099
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,158.54933737005064,1676041259
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,196.21247333787815,1676041643
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,252.99056753888692,1676041751
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,14.897820759357414,1676042219
0x0199ce3597ecab006e9f7ab92619540c48c307d1,0x1272441d556a2b409833333b343b6aaa943e54bf,142.51095289785084,1676041955
0x1ab7e0091e90f6d0f89e86f05cf2e9597a980266,0x1272441d556a2b409833333b343b6aaa943e54bf,288.70486469646573,1676271011
0x1ab7e0091e90f6d0f89e86f05cf2e9597a980266,0x1272441d556a2b409833333b343b6aaa943e54bf,85.22395490108205,1676271359
0x1ab7e0091e90f6d0f89e86f05cf2e9597a980266,0x1272441d556a2b409833333b343b6aaa943e54bf,289.4710098624996,1676271239
0x300296a59c6053baf1dec68cd74e47b006a72ee7,0x1272441d556a2b409833333b343b6aaa943e54bf,170.94581991116573,1676271551
0x300296a59c6053baf1dec68cd74e47b006a72ee7,0x1272441d556a2b409833333b343b6aaa943e54bf,195.04088329383822,1676271683
0x300296a59c6053baf1dec68cd74e47b006a72ee7,0x1272441d556a2b409833333b343b6aaa943e54bf,54.99933252595468,1676271779
0x66204792f6085f8b828101468dcd50875e79ea62,0x1272441d556a2b409833333b343b6aaa943e54bf,178.09055762540692,1676286911
0x2cca7c44b642dcc307081e795e96fd6b0e405b62,0x1272441d556a2b409833333b343b6aaa943e54bf,277.2112685241632,1676287067
0x66204792f6085f8b828101468dcd50875e79ea62,0x1272441d556a2b409833333b343b6aaa943e54bf,108.16388878989056,1676287187
0x66204792f6085f8b828101468dcd50875e79ea62,0x1272441d556a2b409833333b343b6aaa943e54bf,168.85536135579267,1676287427
0xdd3f5b061ead9027f3ee25ce906d010d383e4664,0x1272441d556a2b409833333b343b6aaa943e54bf,282.6817416695758,1676293103
0x09aaa4239176c9b54b252381a84cfadf4f9a3914,0x1272441d556a2b409833333b343b6aaa943e54bf,272.3823302439461,1676293307
0x2cca7c44b642dcc307081e795e96fd6b0e405b62,0x1272441d556a2b409833333b343b6aaa943e54bf,211.9158107045779,1676293403
0x09aaa4239176c9b54b252381a84cfadf4f9a3914,0x1272441d556a2b409833333b343b6aaa943e54bf,208.72607921778285,1676293463
0x66204792f6085f8b828101468dcd50875e79ea62,0x1272441d556a2b409833333b343b6aaa943e54bf,44.87943247102957,1676293811
0xdd3f5b061ead9027f3ee25ce906d010d383e4664,0x1272441d556a2b409833333b343b6aaa943e54bf,206.76005773470618,1676293907
0xdd3f5b061ead9027f3ee25ce906d010d383e4664,0x1272441d556a2b409833333b343b6aaa943e54bf,9.299765845434326,1676294231
0x2cca7c44b642dcc307081e795e96fd6b0e405b62,0x1272441d556a2b409833333b343b6aaa943e54bf,9.614971381057417,1676294315
0x09aaa4239176c9b54b252381a84cfadf4f9a3914,0x1272441d556a2b409833333b343b6aaa943e54bf,17.632554315109743,1676294387
0x838a8840732455d5148fec45fd24fdb556d4d967,0x1272441d556a2b409833333b343b6aaa943e54bf,0.836884024009212,1676358851
0x65c059e8a22bcbf61093207c4ab3d3117a1a5574,0x1272441d556a2b409833333b343b6aaa943e54bf,227.5100167424963,1676358035
0x838a8840732455d5148fec45fd24fdb556d4d967,0x1272441d556a2b409833333b343b6aaa943e54bf,203.4928666576101,1676358215
0x838a8840732455d5148fec45fd24fdb556d4d967,0x1272441d556a2b409833333b343b6aaa943e54bf,189.4843749404423,1676358335
0x65c059e8a22bcbf61093207c4ab3d3117a1a5574,0x1272441d556a2b409833333b343b6aaa943e54bf,225.782566739883,1676358455
0x65c059e8a22bcbf61093207c4ab3d3117a1a5574,0x1272441d556a2b409833333b343b6aaa943e54bf,45.45202286355822,1676358635
0x838a8840732455d5148fec45fd24fdb556d4d967,0x1272441d556a2b409833333b343b6aaa943e54bf,104.92805329607631,1676358731
0xaae20eaf1c9c73db3b2fad05f0d4f4616b0054e6,0x1272441d556a2b409833333b343b6aaa943e54bf,101.85195915229922,1676378819
0xf5f676500025bba3639b75b184c6263643552aae,0x1272441d556a2b409833333b343b6aaa943e54bf,232.09438690220807,1676378939
0xaae20eaf1c9c73db3b2fad05f0d4f4616b0054e6,0x1272441d556a2b409833333b343b6aaa943e54bf,134.82785514800918,1676378687
0xc63212418aef34a2b264a25507136f1c7ff60aed,0x1272441d556a2b409833333b343b6aaa943e54bf,160.60204691256828,1676379455
0xaae20eaf1c9c73db3b2fad05f0d4f4616b0054e6,0x1272441d556a2b409833333b343b6aaa943e54bf,166.53361878714435,1676379131
0xc63212418aef34a2b264a25507136f1c7ff60aed,0x1272441d556a2b409833333b343b6aaa943e54bf,285.87591297183064,1676379263
0xaae20eaf1c9c73db3b2fad05f0d4f4616b0054e6,0x1272441d556a2b409833333b343b6aaa943e54bf,95.528399432561,1676384063
0x2553c4fa48e0a3478863f47ed304742449f64083,0x1272441d556a2b409833333b343b6aaa943e54bf,150.37073224235888,1676384207
0xf5f676500025bba3639b75b184c6263643552aae,0x1272441d556a2b409833333b343b6aaa943e54bf,124.41490672167755,1676388575
0xf5f676500025bba3639b75b184c6263643552aae,0x1272441d556a2b409833333b343b6aaa943e54bf,139.2058674322309,1676388695
0xc63212418aef34a2b264a25507136f1c7ff60aed,0x1272441d556a2b409833333b343b6aaa943e54bf,52.261433969080194,1676388827
0xf5f676500025bba3639b75b184c6263643552aae,0x1272441d556a2b409833333b343b6aaa943e54bf,3.020576016919933,1676388959
0x2553c4fa48e0a3478863f47ed304742449f64083,0x1272441d556a2b409833333b343b6aaa943e54bf,265.45188362944145,1676389079
0x2553c4fa48e0a3478863f47ed304742449f64083,0x1272441d556a2b409833333b343b6aaa943e54bf,82.91781082733613,1676389259
0x8bc3078d9a6e76c3c17e7deffead00caf6eeb0a7,0x1272441d556a2b409833333b343b6aaa943e54bf,194.61033286455267,1676454563
0x8bc3078d9a6e76c3c17e7deffead00caf6eeb0a7,0x1272441d556a2b409833333b343b6aaa943e54bf,204.25132005581935,1676454287
0x51d167f3366c6869d734245b85e29d3ea0e89066,0x1272441d556a2b409833333b343b6aaa943e54bf,166.8824869145476,1676454443
0x51d167f3366c6869d734245b85e29d3ea0e89066,0x1272441d556a2b409833333b343b6aaa943e54bf,257.469837019541,1676455499
0x13aa279ad6fa7b7533dbebe5d753175066ade8de,0x1272441d556a2b409833333b343b6aaa943e54bf,165.18404662712263,1676455691
0x8bc3078d9a6e76c3c17e7deffead00caf6eeb0a7,0x1272441d556a2b409833333b343b6aaa943e54bf,99.88093711982538,1676455895
0x51d167f3366c6869d734245b85e29d3ea0e89066,0x1272441d556a2b409833333b343b6aaa943e54bf,74.3898598702888,1676456879
0x13aa279ad6fa7b7533dbebe5d753175066ade8de,0x1272441d556a2b409833333b343b6aaa943e54bf,117.3041158435671,1676457095
0x13aa279ad6fa7b7533dbebe5d753175066ade8de,0x1272441d556a2b409833333b343b6aaa943e54bf,125.37633569715774,1676457215
0x13aa279ad6fa7b7533dbebe5d753175066ade8de,0x1272441d556a2b409833333b343b6aaa943e54bf,90.87540645179682,1676457311
0x7a017e5e9672bc994dcb1a2a27d853c9c629f7c3,0x4e548fd843a3016dba3656d914772f5c57e8c1d9,100.0,1673642051
0x7b2f423695ffe0954801b343ac85d41405151621,0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,50.0,1673642279
0x4785812691a8e2ad00f074398747632d89c0fdd5,0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,40.998451017723475,1673642315
0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,0xa0f541092762523040e889479f47a531a8ecbf64,10.0,1673642387
0x7b2f423695ffe0954801b343ac85d41405151621,0xae048b1775a5317e4cf48f74464d9c71db93b561,50.494380857421945,1673642399
0xbeb8b4ce1a5a4839a91ae88e14b84d4672418795,0x01aef6f9981092e25ce3242303dc2ba42de8e923,27.996913384543664,1673642435
0xae048b1775a5317e4cf48f74464d9c71db93b561,0x8f00ba2844cd042858c670f359f1a9ee529c33ea,30.0,1673642459
0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,0x508da3b6b5c0cbce5356caee84f4b8c5dc661995,20.0,1673642483
0xfccba8b1cce5234f72240194f235f3fb1cafe6d2,0x48e49fa337922e6232474841dabb09c96bb08ac1,29.99860846494117,1673642555
0xae048b1775a5317e4cf48f74464d9c71db93b561,0x9e32be6dd3ab67708fd5c459e49c3447baa36346,20.492984679381323,1673642627
0x508da3b6b5c0cbce5356caee84f4b8c5dc661995,0x9e32be6dd3ab67708fd5c459e49c3447baa36346,19.999226074075906,1673642651
0xa0f541092762523040e889479f47a531a8ecbf64,0xf69f340cf699be3e0169558230d51d45d01d0216,9.999207730342533,1673642999
0xcb377b9e0448c529ebf96c1e1e670bacc7f0037f,0x156aee1ae9a3c743a687a5bec3798a44789ee9ca,300.0,1673643035
0x9e32be6dd3ab67708fd5c459e49c3447baa36346,0x8b9209b0b79801b2f17844f6e5a937512019d93a,40.491371267618504,1673643119
0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,0xa919af3e9304007838ab549a247aea5110e313da,10.0,1673643131
0xa919af3e9304007838ab549a247aea5110e313da,0x66bea7a42c7d0d82fcb0149466bd8801123ed08a,9.999072850819482,1673643191
0x156aee1ae9a3c743a687a5bec3798a44789ee9ca,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,250.0,1673643251
0x6a4767ae26751d095f482578e11c646a719c13fe,0x88bfd413a2635ebc794be2f47f1484c8042c6d08,10.0,1673643275
0x48e49fa337922e6232474841dabb09c96bb08ac1,0x8b9209b0b79801b2f17844f6e5a937512019d93a,29.99767337761531,1673643275
0x6a4767ae26751d095f482578e11c646a719c13fe,0x66b2eff6ce4b491f34febc44ae5a099718f1ace0,10.998388036183522,1673643335
0xcb377b9e0448c529ebf96c1e1e670bacc7f0037f,0x156aee1ae9a3c743a687a5bec3798a44789ee9ca,397.3094618597778,1673643383
0xf69f340cf699be3e0169558230d51d45d01d0216,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,9.998578995409835,1673643383
0x88bfd413a2635ebc794be2f47f1484c8042c6d08,0x7fa9128f778d551236186ab1dfb5aace36af12d9,9.99904729062891,1673643431
0x8b9209b0b79801b2f17844f6e5a937512019d93a,0x669cf83336e8b82d32ec5cfb5e6501583129638d,5.0,1673643503
0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,0x1cc6ae42c3312669c2656fd7fa5dc9e7af1471d9,7.0,1673643527
0x7fa9128f778d551236186ab1dfb5aace36af12d9,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,9.998277113946811,1673643575
0x1cc6ae42c3312669c2656fd7fa5dc9e7af1471d9,0x66ae67a932fbec76e1cc7bf5d42b0873808ae43f,6.99894669635791,1673643587
0x66ae67a932fbec76e1cc7bf5d42b0873808ae43f,0x28c6c06298d514db089934071355e5743bf21d60,6.98394669635791,1673643611
0x669cf83336e8b82d32ec5cfb5e6501583129638d,0x28c6c06298d514db089934071355e5743bf21d60,4.985,1673643611
0x66bea7a42c7d0d82fcb0149466bd8801123ed08a,0x28c6c06298d514db089934071355e5743bf21d60,9.984072850819484,1673643611
